FIPS2000,FIPS2010,COUNTY,STATE,COUSUB,COUNTYNAME,METRO_CODE,AREANAME,COUNTY_TOWN_NAME,POP2010,STATE_ALPHA,FMR_TYPE,METRO,ACT2,ACT0,ACT1,ACT3,ACT4
100199999,100199999,1,1,99999,Autauga County,METRO33860M33860,Montgomery, AL MSA,Autauga County,54571,AL,40,1,1084,788,663,1528
100399999,100399999,3,1,99999,Baldwin County,NCNTY01003N01003,Baldwin County, AL,Baldwin County,182265,AL,40,0,1123,762,643,1594
100599999,100599999,5,1,99999,Barbour County,NCNTY01005N01005,Barbour County, AL,Barbour County,27457,AL,40,0,834,670,495,1192
100799999,100799999,7,1,99999,Bibb County,METRO13820M13820,Birmingham-Hoover, AL HUD Metro FMR Area,Bibb County,22915,AL,40,1,1015,773,652,1545
100999999,100999999,9,1,99999,Blount County,METRO13820M13820,Birmingham-Hoover, AL HUD Metro FMR Area,Blount County,57322,AL,40,1,1015,773,652,1545
101199999,101199999,11,1,99999,Bullock County,NCNTY01011N01011,Bullock County, AL,Bullock County,10914,AL,40,0,791,599,505,1481
101399999,101399999,13,1,99999,Butler County,NCNTY01013N01013,Butler County, AL,Butler County,20947,AL,40,0,870,599,456,1453
101599999,101599999,15,1,99999,Calhoun County,METRO11500M11500,Anniston-Oxford, AL MSA,Calhoun County,118572,AL,40,1,872,675,513,1491
101799999,101799999,17,1,99999,Chambers County,NCNTY01017N01017,Chambers County, AL,Chambers County,34215,AL,40,0,867,696,514,1511
101999999,101999999,19,1,99999,Cherokee County,NCNTY01019N01019,Cherokee County, AL,Cherokee County,25989,AL,40,0,883,599,500,1481
102199999,102199999,21,1,99999,Chilton County,METRO13820N01021,Chilton County, AL HUD Metro FMR Area,Chilton County,43643,AL,40,1,802,599,475,1423
102399999,102399999,23,1,99999,Choctaw County,NCNTY01023N01023,Choctaw County, AL,Choctaw County,13859,AL,40,0,882,708,523,1520
102599999,102599999,25,1,99999,Clarke County,NCNTY01025N01025,Clarke County, AL,Clarke County,25833,AL,40,0,836,599,464,1461
102799999,102799999,27,1,99999,Clay County,NCNTY01027N01027,Clay County, AL,Clay County,13932,AL,40,0,803,599,448,1445
